starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:56:58 2020	1599125218	11	24	35	17
Thu Sep 03 14:56:58 2020	1599125218	11	24	35	18
Thu Sep 03 14:56:58 2020	1599125218	11	24	35	18
Thu Sep 03 14:56:58 2020	1599125218	11	24	35	18
Thu Sep 03 14:56:58 2020	1599125218	11	24	35	18
Thu Sep 03 14:56:58 2020	1599125218	11	24	35	18
Thu Sep 03 14:56:58 2020	1599125218	11	25	35	18
Thu Sep 03 14:56:58 2020	1599125218	11	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	11	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	11	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	11	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	11	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	25	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	3	32	36	27
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	20
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	20
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	20
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	20
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	20
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	20
Thu Sep 03 14:56:58 2020	1599125218	5	31	36	25
Thu Sep 03 14:56:58 2020	1599125218	5	31	36	25
Thu Sep 03 14:56:58 2020	1599125218	5	31	36	26
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	20
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	20
Thu Sep 03 14:56:58 2020	1599125218	4	32	36	26
Thu Sep 03 14:56:58 2020	1599125218	4	32	36	26
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	5	30	36	25
Thu Sep 03 14:56:58 2020	1599125218	5	31	36	25
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	5	31	36	25
Thu Sep 03 14:56:58 2020	1599125218	5	31	36	25
Thu Sep 03 14:56:58 2020	1599125218	3	32	36	27
Thu Sep 03 14:56:58 2020	1599125218	8	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	5	31	36	25
Thu Sep 03 14:56:58 2020	1599125218	4	31	36	26
Thu Sep 03 14:56:58 2020	1599125218	4	31	36	26
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	7	28	36	23
Thu Sep 03 14:56:58 2020	1599125218	4	31	36	26
Thu Sep 03 14:56:58 2020	1599125218	4	32	36	26
Thu Sep 03 14:56:58 2020	1599125218	4	32	36	26
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	8	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	4	32	36	26
Thu Sep 03 14:56:58 2020	1599125218	4	32	36	26
Thu Sep 03 14:56:58 2020	1599125218	4	32	36	27
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	23
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	23
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	24
Thu Sep 03 14:56:58 2020	1599125218	6	29	36	24
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	23
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	23
Thu Sep 03 14:56:58 2020	1599125218	6	29	36	24
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	6	30	36	24
Thu Sep 03 14:56:58 2020	1599125218	5	30	36	25
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	7	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	7	28	36	23
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	7	28	36	23
Thu Sep 03 14:56:58 2020	1599125218	7	28	36	23
Thu Sep 03 14:56:58 2020	1599125218	5	30	36	25
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	21
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	8	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	10	26	36	18
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	24
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	21
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	23
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	23
Thu Sep 03 14:56:58 2020	1599125218	6	30	36	24
Thu Sep 03 14:56:58 2020	1599125218	6	30	36	24
Thu Sep 03 14:56:58 2020	1599125218	7	29	36	23
Thu Sep 03 14:56:58 2020	1599125218	6	29	36	24
Thu Sep 03 14:56:58 2020	1599125218	6	30	36	24
Thu Sep 03 14:56:58 2020	1599125218	6	30	36	24
Thu Sep 03 14:56:58 2020	1599125218	6	30	36	25
Thu Sep 03 14:56:58 2020	1599125218	5	30	36	25
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	8	28	36	22
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
Thu Sep 03 14:56:58 2020	1599125218	3	33	36	27
Thu Sep 03 14:56:58 2020	1599125218	3	33	36	27
Thu Sep 03 14:56:58 2020	1599125218	2	33	36	28
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
Thu Sep 03 14:56:58 2020	1599125218	2	33	36	28
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
Thu Sep 03 14:56:58 2020	1599125218	2	34	36	28
Thu Sep 03 14:56:58 2020	1599125218	9	27	36	19
Thu Sep 03 14:56:58 2020	1599125218	9	26	36	19
