starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:53:19 2020	1599124999	64	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	89	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	64	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	64	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	64	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	64	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	64	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	90	19
Thu Sep 03 14:53:19 2020	1599124999	64	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	24	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	65	25	90	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	65	26	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	91	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	25	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
