starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	101	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	73	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	102	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	103	8
Thu Sep 03 14:54:41 2020	1599125081	74	28	103	9
