starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	28
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	7	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	30	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	29
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	27
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	27
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	27
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	27
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	27
Thu Sep 03 14:56:01 2020	1599125161	8	29	37	27
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	22
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	22
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	22
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	22
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	14	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	13	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	13	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	13	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	13	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	13	24	38	23
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	23
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	13	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	12	25	38	24
Thu Sep 03 14:56:00 2020	1599125160	12	25	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	25	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	25	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	25
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	26
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	26
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	26
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	26	38	26
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	23
Thu Sep 03 14:56:00 2020	1599125160	10	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
