starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:55:29 2020	1599125129	34	17	51	10
Thu Sep 03 14:55:29 2020	1599125129	34	17	51	10
Thu Sep 03 14:55:29 2020	1599125129	34	17	51	10
Thu Sep 03 14:55:29 2020	1599125129	34	17	51	10
Thu Sep 03 14:55:29 2020	1599125129	34	17	51	10
Thu Sep 03 14:55:29 2020	1599125129	34	17	51	10
Thu Sep 03 14:55:29 2020	1599125129	34	17	51	10
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	17	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	34	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	52	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	25	27	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	25	27	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	26	27	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	26	27	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	26	27	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	26	27	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	23	30	53	14
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	16
Thu Sep 03 14:55:27 2020	1599125127	26	27	53	16
Thu Sep 03 14:55:28 2020	1599125128	21	32	53	21
Thu Sep 03 14:55:28 2020	1599125128	21	32	53	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	53	16
Thu Sep 03 14:55:28 2020	1599125128	21	32	53	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:28 2020	1599125128	21	32	53	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:28 2020	1599125128	21	32	53	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	53	16
